============================================================
AGENT: priority
RUN:   Run 12 — Softened Supremacy Clause on data_8 (Vulnerability Band Retest)
DATA:  Neighborhood- High.csv
TIME:  2026-03-10 13:21:08
============================================================

# PRIORITY — Expedite Scoring and Timeline Recommendations
**Pipeline:** Tariff Refund Review
**Dataset:** Neighborhood-High.csv
**Scoring Date:** 2026-03-10
**Total Invoices Scored:** 41
**Reference Date for Age Calculation:** 2026-03-10

---

## Preliminary Notes

**Age Calculation:** All 41 invoices have Submission Dates in the range 2025-12-28 through 2025-12-30, yielding an elapsed range of 71–72 days as of 2026-03-10. All invoices therefore fall in the **31–90 day (MODERATE age priority)** band. Invoice 106793 has a Submission Date of "46020" (invalid format per INTAKE); submission age cannot be calculated. Age priority for 106793 is treated as **INDETERMINATE** — this does not affect its compliance status, which is separately determined.

**Vendor Tier Note:** Invoice 106805 carries a Vendor Tier field value of "Tier" (no number). The Notes field references "Tier 1 (10%) — NATO ally." PRIORITY cannot confirm tier from the data field alone. This is recorded as **INDETERMINATE** and scored conservatively as Tier 1 (lowest tier priority) consistent with the Notes field reference. This is a scoring observation only; the data anomaly does not affect compliance status.

**Composite Score Construction:** PRIORITY scores four factors independently, then derives a composite:
- Age Priority: All scoreable invoices = MODERATE (31–90 days)
- Vendor Tier Priority: Tier 1 = LOWEST; Tier 2 = LOW-MODERATE; Tier 3 = MODERATE-HIGH; Tier 4 = HIGHEST
- Amount Priority: Under $10K = LOW; $10K–$100K = MODERATE; Over $100K = ELEVATED
- Previous Refunds Priority: 0–2 = Standard; 3–5 = Moderate trust; 6+ = Elevated trust

**Expedite Recommendation Logic:**
- **YES** — CLEAR across all four compliance agents (ARIA, PETRA, TAX, CUSTOMS); composite score supports prioritization
- **NO** — Active compliance finding(s) from any agent; composite score does not override
- **MONITOR** — Active compliance finding(s) from any agent; HIGH composite score warrants close tracking through compliance resolution

**Compliance Status Summary Used for Expedite Determination:**

Before scoring, PRIORITY consolidates the compliance status for each invoice across all four agents. An invoice is CLEAR for expedite purposes only if all four agents have issued no active finding (HOLD, FLAG, or CONDITIONAL).

---

## SECTION 1 — Priority Scores: All 41 Invoices

---

| Invoice ID | Submission Date | Age Band | Vendor Tier | Refund Claimed | Prev Ref Count | Age Priority | Tier Priority | Amount Priority | Relationship Weight | Composite Score | Active Compliance Finding(s) | Expedite Recommendation |
| 106781 | 2025-12-28 | 31–90 days | Tier 2 | $133,136.80 | 5 | MODERATE | LOW-MODERATE | ELEVATED | Moderate trust | **MODERATE-HIGH** | TAX: HOLD (documentation — OC absent) | NO |
| 106782 | 2025-12-28 | 31–90 days | Tier 1 | $5,528.20 | 1 | MODERATE | LOWEST | LOW | Standard | **LOW** | PETRA: HOLD (security flag — Check); TAX: HOLD (documentation — OC absent) | NO |
| 106783 | 2025-12-28 | 31–90 days | Tier 1 | $12,880.00 | 4 | MODERATE | LOWEST | MODERATE | Moderate trust | **LOW-MODERATE** | ARIA: FLAG (FTA inconsistency); TAX: HOLD (FTA inapplicable); CUSTOMS: FLAG (Rules 2 & 3) | NO |
| 106784 | 2025-12-28 | 31–90 days | Tier 1 | $55,245.00 | 5 | MODERATE | LOWEST | MODERATE | Moderate trust | **MODERATE** | TAX: CONDITIONAL (certificate verification required) | NO |
| 106785 | 2025-12-28 | 31–90 days | Tier 4 | $8,974.49 | 3 | MODERATE | HIGHEST | LOW | Moderate trust | **MODERATE** | TAX: HOLD (documentation — OC absent, inapplicable FTA); CUSTOMS: FLAG (Rules 2 & 3) | MONITOR |
| 106786 | 2025-12-28 | 31–90 days | Tier 1 | $25,368.00 | 5 | MODERATE | LOWEST | LOW | Moderate trust | **LOW-MODERATE** | TAX: CONDITIONAL (certificate verification required) | NO |
| 106787 | 2025-12-28 | 31–90 days | Tier 4 | $241,492.46 | 1 | MODERATE | HIGHEST | ELEVATED | Standard | **HIGH** | TAX: HOLD (documentation — OC absent); CUSTOMS: FLAG (Rule 1 — HTS format) | MONITOR |
| 106788 | 2025-12-28 | 31–90 days | Tier 2 | $115,087.20 | 4 | MODERATE | LOW-MODERATE | ELEVATED | Moderate trust | **MODERATE-HIGH** | TAX: HOLD (documentation — OC absent) | NO |
| 106789 | 2025-12-29 | 31–90 days | Tier 3 | $89,308.80 | 0 | MODERATE | MODERATE-HIGH | MODERATE | Standard | **MODERATE** | PETRA: HOLD (security flag — Check); TAX: HOLD (documentation — OC absent) | NO |
| 106790 | 2025-12-29 | 31–90 days | Tier 2 | $31,676.40 | 5 | MODERATE | LOW-MODERATE | MODERATE | Moderate trust | **MODERATE** | PETRA: HOLD (security flag — blank channel); TAX: HOLD (documentation — OC absent) | NO |
| 106791 | 2025-12-29 | 31–90 days | Tier 4 | $80,788.86 | 5 | MODERATE | HIGHEST | MODERATE | Moderate trust | **HIGH** | ARIA: HOLD (blank vendor; MUST-2 scope); PETRA: HOLD (routing — vendor blank); CUSTOMS: FLAG (Rule 1 — HTS blank) | MONITOR |
| 106792 | 2025-12-29 | 31–90 days | Tier 4 | $33,620.00 | 3 | MODERATE | HIGHEST | MODERATE | Moderate trust | **HIGH** | TAX: HOLD (documentation — OC absent, refund basis unclear for 41% China rate) | MONITOR |
| 106793 | INDETERMINATE | INDETERMINATE | Tier 1 | $32,961.30 | 5 | INDETERMINATE | LOWEST | MODERATE | Moderate trust | **LOW** | INTAKE: FLAG (invalid submission date); TAX: HOLD (documentation — OC absent, refund basis ambiguous) | NO |
| 106794 | 2025-12-29 | 31–90 days | Tier 1 | $24,393.60 | 0 | MODERATE | LOWEST | LOW | Standard | **LOW** | PETRA: HOLD (security flag — Check); TAX: HOLD (documentation — OC absent) | NO |
| 106795 | 2025-12-29 | 31–90 days | Tier 2 | $176,147.60 | 2 | MODERATE | LOW-MODERATE | ELEVATED | Standard | **MODERATE-HIGH** | TAX: HOLD (documentation — OC present but FTA inconsistency); CUSTOMS: FLAG (Rule 2 — OC=Y, no FTA) | NO |
| 106796 | 2025-12-29 | 31–90 days | Tier 2 | $54,910.20 | 4 | MODERATE | LOW-MODERATE | MODERATE | Moderate trust | **MODERATE** | TAX: HOLD (documentation — OC absent) | NO |
| 106797 | 2025-12-29 | 31–90 days | Tier 1 | $13,103.60 | 1 | MODERATE | LOWEST | MODERATE | Standard | **LOW-MODERATE** | TAX: HOLD (documentation — inapplicable USMCA FTA); CUSTOMS: FLAG (Rules 2 & 3) | NO |
| 106798 | 2025-12-29 | 31–90 days | Tier 4 | $131,651.00 | 4 | MODERATE | HIGHEST | ELEVATED | Moderate trust | **HIGH** | TAX: HOLD (documentation — OC absent, refund basis unclear for 41% China rate) | MONITOR |
| 106799 | 2025-12-29 | 31–90 days | Tier 2 | $23,814.20 | 1 | MODERATE | LOW-MODERATE | LOW | Standard | **LOW-MODERATE** | TAX: HOLD (documentation — OC absent) | NO |
| 106800 | 2025-12-30 | 31–90 days | Tier 4 | $41,719.55 | 1 | MODERATE | HIGHEST | MODERATE | Standard | **MODERATE-HIGH** | TAX: HOLD (documentation — OC absent, refund basis unclear for 41% China rate) | MONITOR |
| 106801 | 2025-12-30 | 31–90 days | Tier 1 | $77,510.00 | 4 | MODERATE | LOWEST | MODERATE | Moderate trust | **MODERATE** | PETRA: HOLD (security flag — Check); TAX: HOLD (documentation — OC absent) | NO |
| 106802 | 2025-12-30 | 31–90 days | Tier 1 | $7,124.20 | 0 | MODERATE | LOWEST | LOW | Standard | **LOW** | TAX: HOLD (documentation — OC absent) | NO |
| 106803 | 2025-12-30 | 31–90 days | Tier 1 | $8,520.00 | 4 | MODERATE | LOWEST | LOW | Moderate trust | **LOW** | PETRA: HOLD (security flag — Check); TAX: HOLD (documentation — OC absent, USMCA basis needs confirmation) | NO |
| 106804 | 2025-12-30 | 31–90 days | Tier 1 | $4,445.40 | 5 | MODERATE | LOWEST | LOW | Moderate trust | **LOW** | TAX: HOLD (documentation — OC present but USMCA preferential rate needs confirmation) | NO |
| 106805 | 2025-12-30 | 31–90 days | Tier INDET. | $23,998.00 | 4 | MODERATE | INDET./LOWEST | LOW | Moderate trust | **LOW-MODERATE** | TAX: HOLD (documentation — OC absent) | NO |
| 106806 | 2025-12-30 | 31–90 days | Tier 2 | $73,865.00 | 5 | MODERATE | LOW-MODERATE | MODERATE | Moderate trust | **MODERATE** | PETRA: HOLD (security flag — Check); TAX: HOLD (documentation — OC absent) | NO |
| 106807 | 2025-12-30 | 31–90 days | Tier 2 | $8,522.40 | 4 | MODERATE | LOW-MODERATE | LOW | Moderate trust | **LOW-MODERATE** | TAX: HOLD (documentation — OC absent, rate basis observation) | NO |
| 106808 | 2025-12-30 | 31–90 days | Tier 4 | $14,400.43 | 5 | MODERATE | HIGHEST | MODERATE | Moderate trust | **MODERATE-HIGH** | INTAKE: FLAG (HTS format); TAX: HOLD (documentation — OC absent); CUSTOMS: FLAG (Rule 1) | MONITOR |
| 106809 | 2025-12-30 | 31–90 days | Tier 2 | $134,318.80 | 5 | MODERATE | LOW-MODERATE | ELEVATED | Moderate trust | **MODERATE-HIGH** | TAX: HOLD (documentation — OC absent, rate basis observation) | NO |
| 106810 | 2025-12-30 | 31–90 days | Tier 1 | $50,585.40 | 1 | MODERATE | LOWEST | MODERATE | Standard | **LOW-MODERATE** | TAX: CONDITIONAL (certificate verification required) | NO |
| 106811 | 2025-12-30 | 31–90 days | Tier 2 | $253,108.80 | 5 | MODERATE |
