PO,"Item
 Description",Quantity,  Unit Cost  ,Vendor,"Cost before
Tariff","Country 
of Origin","Import 
Date","Tariff
Rate
Applied (%)","Tariff 
Amt Paid","Total 
Payment",Refund Claimed,Invoice ID,HTS_CODE,OC Present,FTA Claimed,Submission Date,Vendor Tier,Prev Ref Count,"Goods
Payment
Channel","Tariff
Payment
Channel",Notes
452N27A1,Hammond Manufacturing 1589 Series Heavy Duty Power Strip (24 Outlet),635,$870.00 ,TQ Processes,552450,Peru,12/16/2025,10,55245,607695,55245,106784,8532.21.00.00,Y,PE66297,12/28/2025,Tier 1,5,Check,ACH - CBP/ACE ,Tier 1 (10%)    FTA partner; likely baseline.
47843C8F,Schneider Electric Altivar 312 Variable Speed Drive 2HP 240V,53,$413.00 ,Pink Cloud Networks,21889,China,12/16/2025,41,8974.49,30863.49,8974.49,106785,8512.40.20.00,N,NA,12/28/2025,Tier 4,3,Corporate Card,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
42A5A709,Cooper B-Line 4-Shelf 19-Inch Rack Mount Open Frame Server Cabinet,560,$453.00 ,Cyber Data Processing,253680,Chile,12/16/2025,10,25368,279048,25368,106786,8504.50.80.00,Y,CH06112,12/28/2025,Tier 1,5,EFT,Single Entry Bond,Tier 1 (10%)    FTA partner; likely baseline.
4C4EDFFE,Panduit Pan-Term Manual Hydraulic Crimp Tool for Large Gauge Lugs,902,$653.00 ,TQ Processes,589006,China,12/17/2025,41,241492.46,830498.46,241492.46,106787,8532.24.00.00,N,NA,12/28/2025,Tier 4,1,ACH,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
49B7852A,Wiegmann NEMA 3R Rainproof Hinged Cover Enclosure (30x24x12),948,$607.00 ,CTX,575436,India,12/17/2025,20,115087.2,690523.2,115087.2,106788,8504.40.85.00,N,NA,12/28/2025,Tier 2,4,Wire Transfer,Monthly Statement,Tier 2 (20%)    Strategic but with recurring trade frictions; plausibly above baseline.
426772G8,Milwaukee M18 Force Logic 6T Knockout Tool Kit,1329,$224.00 ,HeatProof,297696,Sudan,12/17/2025,30,89308.8,387004.8,89308.8,106789,8532.21.00.00,N,NA,12/29/2025,Tier 3,0,Check,Single Entry Bond,Tier 3 (30%)    Sanctions/instability; likely elevated tier.
43671P28,Ideal Industries SureTest Circuit Analyzer with AFCI/GFCI Testing,189,$838.00 ,Collings University,158382,Namibia,12/17/2025,20,31676.4,190058.4,31676.4,106790,8504.90.20.00,N,NA,12/29/2025,Tier 2,5,Wire Transfer,ACH - CBP/ACE ,"Tier 2 (20%)    Non‑FTA, no major dispute; moderate tier."
47844C80,Southwire 250-ft 6/3 Stranded Romex SIMpull CU NM-B Cable,246,$801.00 ,CTX,197046,China,12/17/2025,41,80788.86,277834.86,80788.86,106791,8512.90.70.00,N,NA,12/29/2025,Tier 4,5,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
47844C80,Fluke 117 Electrician's Multimeter with Non-Contact Voltage Detection,250,$328.00 ,ASET PLC,82000,China,12/17/2025,41,33620,115620,33620,106792,8504.90.41.00,N,NA,12/29/2025,Tier 4,3,ACH,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
42F5OA09,Lutron Vive Wireless Hub with Ethernet and Wi-Fi Connectivity,843,$391.00 ,DENIL,329613,Hungary,12/17/2025,10,32961.3,362574.3,32961.3,106793,8532.21.00.00,N,NA,12/29/2025,Tier 1,5,Check,Single Entry Bond,Tier 1 (10%)    EU member; aligned with EU treatment.
451B12A3,Philips Advance Optanium High Efficiency T8 Electronic Ballast (10-Pack),924,$264.00 ,Data Pro Sys,243936,Japan,12/17/2025,10,24393.6,268329.6,24393.6,106794,8504.40.95.00,N,NA,12/29/2025,Tier 1,0,Check,Single Entry Bond,"Tier 1 (10%)    Key ally; sectoral 232 possible, but low reciprocal tier."
42A5A708,"Hubbell Killark 3/4"" Dead-End Aluminum Conduit Body with Cover",1051,$838.00 ,Zim Sales,880738,Vietnam,12/17/2025,20,176147.6,1056885.6,176147.6,106795,8532.23.00.00,N,NA,12/29/2025,Tier 2,2,Wire Transfer,Monthly Statement,"Tier 2 (20%)    Fast‑growing exporter, some trade tensions; moderate tier."
42A5A708,SolaHD SDU Series DIN Rail Mount Uninterruptible Power Supply,519,$529.00 ,Intelligence Systems,274551,Vietnam,12/17/2025,20,54910.2,329461.2,54910.2,106796,8512.90.60.00,N,NA,12/29/2025,Tier 2,4,Wire Transfer,Monthly Statement,"Tier 2 (20%)    Fast‑growing exporter, some trade tensions; moderate tier."
4C4EE000,Hoffman Rackmount Fan Tray 115V for 19-inch Server Racks,697,$188.00 ,Respira Networks,131036,UK,12/18/2025,10,13103.6,144139.6,13103.6,106797,8512.90.60.00,N,NA,12/29/2025,Tier 1,1,ACH,ACH - CBP/ACE ,Tier 1 (10%)    EU ally; similar logic to Italy.
404A5AF3,Thomas & Betts Ty-Rap High-Performance Cable Ties (1000-count Bulk),494,$650.00 ,EYN,321100,China,12/18/2025,41,131651,452751,131651,106798,8504.40.40.00,N,NA,12/29/2025,Tier 4,4,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
453F88A0,Emerson Rosemount 3051 Coplanar Pressure Transmitter,713,$167.00 ,Pilco Streambank,119071,Pakistan,12/18/2025,20,23814.2,142885.2,23814.2,106799,8504.90.75.00,N,NA,12/29/2025,Tier 2,1,Wire Transfer,ACH - CBP/ACE ,Tier 2 (20%)    Security partner but trade frictions; moderate tier.
404A1CC8,ABB Tmax T3 3-Pole 125A Molded Case Circuit Breaker,433,$235.00 ,Ripple Com,101755,China,12/18/2025,41,41719.55,143474.55,41719.55,106800,8532.24.00.00,N,NA,12/30/2025,Tier 4,1,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
405A1CO1,Acme Electric 3kVA Buck-Boost Transformer 120x240V to 12x24V,1150,$674.00 ,CTX,775100,France,12/18/2025,10,77510,852610,77510,106801,8504.90.20.00,N,NA,12/30/2025,Tier 1,4,Check,ACH - CBP/ACE ,Tier 1 (10%)    EU/NATO ally; low reciprocal tier.
404A1CS4,Crouse-Hinds Champ Pro PVM LED Luminaire (Series 5),179,$398.00 ,xLAN Internet Exchange,71242,France,12/18/2025,10,7124.2,78366.2,7124.2,106802,8512.90.70.00,N,NA,12/30/2025,Tier 1,0,Wire Transfer,ACH - CBP/ACE ,Tier 1 (10%)    EU/NATO ally; low reciprocal tier.
478H6HK2,Belden 1000-ft 18 AWG 2-Conductor Shielded Fire Alarm Cable,284,$300.00 ,LACNE,85200,Mexico,12/18/2025,10,8520,93720,8520,106803,8504.90.20.00,Y,MX51003,12/30/2025,Tier 1,4,Check,ACH - CBP/ACE ,"Tier 1 (10%)    USMCA partner; low reciprocal tier, sectoral/border issues separate."
478H6CL1,Legrand Wattstopper Digital Lighting Management (DLM) Controller,239,$186.00 ,ASET PLC,44454,Mexico,12/18/2025,10,4445.4,48899.4,4445.4,106804,8512.90.60.00,Y,MX51005,12/30/2025,Tier 1,5,ACH,ACH - CBP/ACE ,"Tier 1 (10%)    USMCA partner; low reciprocal tier, sectoral/border issues separate."
417A9DB1,Burndy Patriot 6-Ton Battery Actuated Crimp Tool,845,$284.00 ,ICANT,239980,Norway,12/18/2025,10,23998,263978,23998,106805,8504.50.80.00,N,NA,12/30/2025, Tier ,4,ACH,Single Entry Bond, Tier 1 (10%)    NATO ally; low reciprocal tier.
404A1CH4,Marathon Special Products 3-Pole Power Distribution Block,1343,$275.00 ,ICANT,369325,Egypt,12/18/2025,20,73865,443190,73865,106806,8532.24.00.00,N,NA,12/30/2025,Tier 2,5,Check,ACH - CBP/ACE ,Tier 2 (20%)    Strategic but not FTA; moderate tier.
3E0330F0,Weidmuller PROmax Power Supply 24V DC 20A DIN Rail,159,$268.00 ,Pilco Streambank,42612,Cambodia,12/18/2025,20,8522.4,51134.4,8522.4,106807,8504.40.85.00,N,NA,12/30/2025,Tier 2,4,Wire Transfer,ACH - CBP/ACE ,Tier 2 (20%)    Sample table shows 19% reciprocal—closest to Tier 2. 
404A5AF3,Klein Tools VDV Commander Test & Tone Kit for Data/Video/Voice,103,$341.00 ,Parmis Technologies,35123,China,12/18/2025,41,14400.43,49523.43,14400.43,106808,8504.40.40.00,N,NA,12/30/2025,Tier 4,5,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
3E0330F0,Meltric Switch-Rated Decontactor 60A 480V Receptacle,979,$686.00 ,Respira Networks,671594,Cambodia,12/18/2025,20,134318.8,805912.8,134318.8,106809,8504.90.20.00,N,NA,12/30/2025,Tier 2,5,ACH,ACH - CBP/ACE ,Tier 2 (20%)    Sample table shows 19% reciprocal—closest to Tier 2. 
414G6LP9,Tork EWZ120 7-Day 1-Channel Digital Timer with Battery Backup,1413,$358.00 ,Cyber Data Processing,505854,Israel,12/19/2025,10,50585.4,556439.4,50585.4,106810,8504.40.85.00,Y,IS72814,12/30/2025,Tier 1,1,Wire Transfer,ACH - CBP/ACE ,Tier 1 (10%)    FTA + close ally; low reciprocal tier.
416B2CD1,Littelfuse Class J Time-Delay High Speed Fuses (6-Pack),1458,$868.00 ,ByteSize,1265544,Cambodia,12/19/2025,20,253108.8,1518652.8,253108.8,106811,8532.21.00.00,N,NA,12/30/2025,Tier 2,5,ACH,ACH - CBP/ACE ,Tier 2 (20%)    Sample table shows 19% reciprocal—closest to Tier 2. 
478P1CL8,NVIDIA AMAX AceleMax® AXG-828IS2,1220," $ 11, 703 ",Snee Key Compute,14277660,China,12/20/2025,30,4283298,18560958,4283298,107812,8504.90.20.00,N,NA,12/30/2025,Tier 3,3,ACH,ACH - CBP/ACE ,Tier 3 (30%)    Sanctions/instability; likely elevated tier.
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
